state,financial_year,udise_formula_academic_year,udise_report_year,udise_formula_school_count,formula_small10_rupees,formula_small25_rupees,recorded_receipt_total_rupees,recorded_expenditure_total_rupees,receipt_reporting_rate
HARYANA,2022-23,2020-21,2023-24,14488,568510000.0,596725000.0,1125389203.5749998,950790484.895,1.0
HIMACHAL PRADESH,2022-23,2020-21,2023-24,15332,307655000.0,445625000.0,554075644.96,524379641.467,1.0
JAMMU & KASHMIR,2022-23,2020-21,2023-24,22225,461875000.0,639475000.0,510646862.12,484915385.12,1.0
JHARKHAND,2022-23,2020-21,2023-24,35572,1270730000.0,1345475000.0,1570884687.165,1448880819.665,1.0
KARNATAKA,2022-23,2020-21,2023-24,49370,1502595000.0,1753275000.0,596836193.545,510563176.98,1.0
KERALA,2022-23,2020-21,2023-24,4959,224970000.0,236475000.0,582622723.0,526882071.0,1.0
LADAKH,2022-23,2020-21,2023-24,807,12065000.0,21275000.0,73565963.25,67831668.25,1.0
LAKSHADWEEP,2022-23,2020-21,2023-24,43,2475000.0,2475000.0,2995375.0,2867327.0,1.0
MADHYA PRADESH,2022-23,2020-21,2023-24,98658,2813720000.0,3209300000.0,2005023904.09,1684595322.53,1.0
MAHARASHTRA,2022-23,2020-21,2023-24,65610,1791970000.0,2170675000.0,1017438842.64,931769772.49,1.0
MANIPUR,2022-23,2020-21,2023-24,2846,63970000.0,83650000.0,50174061.0,49536811.0,1.0
MEGHALAYA,2022-23,2020-21,2023-24,7770,161880000.0,211500000.0,108075674.28,101739565.28,1.0
MIZORAM,2022-23,2020-21,2023-24,2530,53615000.0,67700000.0,148186722.0,146610763.0,1.0
NAGALAND,2022-23,2020-21,2023-24,1926,44730000.0,58800000.0,44009832.0,42776096.0,1.0
ODISHA,2022-23,2020-21,2023-24,50061,1598880000.0,1765650000.0,2377817059.681,2157295254.83,1.0
PUDUCHERRY,2022-23,2020-21,2023-24,414,17820000.0,18450000.0,33685131.0,28391056.0,1.0
PUNJAB,2022-23,2020-21,2023-24,19170,650615000.0,714050000.0,1758943593.83443,1719443504.80443,1.0
RAJASTHAN,2022-23,2020-21,2023-24,68455,2418365000.0,2656775000.0,3213983458.2000003,2995003013.975,1.0
SIKKIM,2022-23,2020-21,2023-24,842,21475000.0,28150000.0,20943407.5,20008142.5,1.0
TAMIL NADU,2022-23,2020-21,2023-24,37471,1195095000.0,1364100000.0,2241063200.0,2116458317.0,1.0
TELANGANA,2022-23,2020-21,2023-24,28497,846000000.0,987900000.0,1121288897.8,1077471635.87,1.0
TRIPURA,2022-23,2020-21,2023-24,4241,133370000.0,154625000.0,170768469.0,163309943.84,1.0
UTTAR PRADESH,2022-23,2020-21,2023-24,136802,5435290000.0,5530675000.0,5875821019.535,5218306680.685,1.0
UTTARAKHAND,2022-23,2020-21,2023-24,16441,332645000.0,484925000.0,661104412.59,622350605.89,1.0
WEST BENGAL,2022-23,2020-21,2023-24,82819,2969980000.0,3190975000.0,3218317170.819999,2694359148.15,1.0
ANDAMAN & NICOBAR ISLANDS,2023-24,2021-22,2024-25,334,10105000.0,12400000.0,17129994.0,16504301.0,1.0
ANDHRA PRADESH,2023-24,2021-22,2024-25,45032,1362505000.0,1566925000.0,331447924.84,292599679.85,1.0
ARUNACHAL PRADESH,2023-24,2021-22,2024-25,2824,67165000.0,88600000.0,59250333.0,57439858.0,1.0
ASSAM,2023-24,2021-22,2024-25,45253,1430685000.0,1600650000.0,2824984179.32,2693252897.37,1.0
BIHAR,2023-24,2021-22,2024-25,75415,4132660000.0,4142725000.0,2445384922.57,2339763440.67,1.0
CHANDIGARH,2023-24,2021-22,2024-25,116,10300000.0,10300000.0,22444607.0,20985441.0,1.0
CHHATTISGARH,2023-24,2021-22,2024-25,48641,1407570000.0,1573050000.0,2113750885.923,1874943959.314,1.0
DADRA & NAGAR HAVELI & DAMAN & DIU,2023-24,2021-22,2024-25,383,15405000.0,16125000.0,46225329.0,41280332.0,1.0
DELHI,2023-24,2021-22,2024-25,2714,209715000.0,209850000.0,345683656.0,327005638.0,1.0
GOA,2023-24,2021-22,2024-25,806,15205000.0,22675000.0,66211240.0,64735873.0,1.0
GUJARAT,2023-24,2021-22,2024-25,34608,1468935000.0,1528050000.0,2164554533.419,1896394883.339,1.0
HARYANA,2023-24,2021-22,2024-25,14484,615295000.0,632800000.0,1163636475.7,1080557713.1999998,1.0
HIMACHAL PRADESH,2023-24,2021-22,2024-25,15328,315325000.0,448225000.0,549043236.122,517814762.82,1.0
JAMMU & KASHMIR,2023-24,2021-22,2024-25,22270,477420000.0,647475000.0,446865050.8925,426371710.3925,1.0
JHARKHAND,2023-24,2021-22,2024-25,35551,1310975000.0,1379375000.0,1565717474.345,1503138051.355,1.0
KARNATAKA,2023-24,2021-22,2024-25,49316,1555895000.0,1794050000.0,1321614496.77,1165874184.87,1.0
KERALA,2023-24,2021-22,2024-25,4952,230550000.0,241050000.0,430804295.32000005,325259317.72,1.0
LADAKH,2023-24,2021-22,2024-25,800,12030000.0,21075000.0,70590458.0,68867108.0,1.0
LAKSHADWEEP,2023-24,2021-22,2024-25,36,2175000.0,2175000.0,2743905.0,2490487.0,1.0
MADHYA PRADESH,2023-24,2021-22,2024-25,92178,2789535000.0,3127425000.0,1997971948.664,1757901109.554,1.0
MAHARASHTRA,2023-24,2021-22,2024-25,65494,1839320000.0,2198225000.0,1368077263.35,1269885124.5500002,1.0
MANIPUR,2023-24,2021-22,2024-25,2828,65625000.0,83775000.0,89242083.0,87324108.0,1.0
MEGHALAYA,2023-24,2021-22,2024-25,7756,160815000.0,211425000.0,111827584.0,100670253.0,1.0
MIZORAM,2023-24,2021-22,2024-25,2534,56530000.0,68800000.0,191018649.265,184894756.42,1.0
NAGALAND,2023-24,2021-22,2024-25,1916,44495000.0,58850000.0,50910487.5,49242032.5,1.0
ODISHA,2023-24,2021-22,2024-25,48599,1605310000.0,1744000000.0,2192661335.75,2084341180.75,1.0
PUDUCHERRY,2023-24,2021-22,2024-25,414,18565000.0,19075000.0,36021205.0,32045232.0,1.0
PUNJAB,2023-24,2021-22,2024-25,19159,671140000.0,724300000.0,2018066656.13,1850363248.7,1.0
RAJASTHAN,2023-24,2021-22,2024-25,68544,2532075000.0,2747775000.0,3113965145.94,2976830011.93,1.0
SIKKIM,2023-24,2021-22,2024-25,850,20970000.0,27975000.0,29147733.8,26965706.9,1.0
TAMIL NADU,2023-24,2021-22,2024-25,37538,1266765000.0,1412700000.0,1300765370.6,1231149542.6,1.0
TELANGANA,2023-24,2021-22,2024-25,28695,935500000.0,1050625000.0,1473641732.6,1427708640.6,1.0
TRIPURA,2023-24,2021-22,2024-25,4239,131090000.0,153275000.0,176930732.5,167616232.5,1.0
UTTAR PRADESH,2023-24,2021-22,2024-25,136738,5679565000.0,5750425000.0,6631727679.97675,6348740719.682631,1.0
UTTARAKHAND,2023-24,2021-22,2024-25,16401,345715000.0,490675000.0,879590177.9449999,827491573.895,1.0
WEST BENGAL,2023-24,2021-22,2024-25,82323,2957125000.0,3190075000.0,3629833445.840001,2970785390.450001,1.0
